rightsHolder,bed,country,habitat,year,scientificName,individualCount,county,decimalLatitude,type,catalogNumber,basisOfRecord,modified,maximumDepthInMeters,latestEpochOrHighestSeries,verbatimElevation,day,group,order,infraspecificEpithet,recordNumber,verbatimEventDate,higherGeography,georeferencedBy,island,locality,minimumElevationInMeters,georeferenceRemarks,stateProvince,decimalLongitude,collectionCode,verbatimLocality,occurrenceID,earliestEpochOrLowestSeries,maximumElevationInMeters,verbatimLatitude,license,month,dateIdentified,genus,isMarine,earliestPeriodOrLowestSystem,collectionID,eventDate,identificationID,continent,latestEraOrHighestErathem,eventID,earliestAgeOrLowestStage,scientificNameAuthorship,islandGroup,coordinateUncertaintyInMeters,taxonRank,formation,minimumDepthInMeters,institutionCode,verbatimLongitude,member,identifiedBy,class,nomenclaturalCode,georeferenceProtocol,sex,latestPeriodOrHighestSystem,typeStatus,verbatimCoordinateSystem,associatedMedia,geodeticDatum,lithostratigraphicTerms,waterBody,earliestEraOrLowestErathem,kingdom,specificEpithet,recordedBy,otherCatalogNumbers,phylum,lifeStage,latestAgeOrHighestStage,occurrenceRemarks,associatedSequences,family,georeferenceSources
"",404130.41856,Gazetteer of Indonesia: US Defense Mapping Agency (1982),,,"Used Arafura SEA.  Estimated extent 248.5 miles, measured between Arafura Sea and Timor Sea.  Map scale 1:6,000,000.",,ICZN,New Guinea,Indoaustralia,"Arafura Sea: 30-40 mi W of Frederick Hendrik Island, Irian Jaya",,,,,,1,Chordata,1973-10-01,MCZ,,Hydrophis,,,JBH (MCZ),,PhysicalObject,-9d,133d,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,collector number=MCZ FS-F14307; muse location number=ZR149691,OCE by PGH,Squamata,2012-12-06 08:46:26.0,,,0/10/1973-0/10/1973,,1,149692,false,,,Hydrophis elegans,,,183010,,-9,WGS84,MCZ:Herp:R-149692,Herp,,CC-BY-NC,133,,,Animalia,Reptilia,"(Gray, 1842)",,,,Hydrophiidae,,decimal degrees,PreservedSpecimen,29667,Fred Parker,elegans,President and Fellows of Harvard College,,,,,Catalog,"Arafura Sea: 30-40 mi W of Fredrik Hendrik Island, Irian Jaya",,Indoaustralia: New Guinea,,,
"",404130.41856,Gazetteer of Indonesia: US Defense Mapping Agency (1982),,,"Used Arafura SEA.  Estimated extent 248.5 miles radius, measured between Arafura Sea and Timor Sea.  Map scale 1:6,000,000.",,ICZN,New Guinea,Indoaustralia,"Arafura Sea: 30-40 mi. W. of Frederick Hendrik Is, Irian Jaya",,,,,,1,Chordata,1973-10-01,MCZ,,Lapemis,,,JBH (MCZ),,PhysicalObject,-9d,133d,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,collector number=MCZ FS-F14303; muse location number=ZR149699,OCE by CK,Squamata,2012-12-06 08:46:26.0,,,0/10/1973-0/10/1973,,1,149699,false,,,Lapemis hardwickii,,,183017,,-9,WGS84,MCZ:Herp:R-149699,Herp,,CC-BY-NC,133,,,Animalia,Reptilia,,,,,Hydrophiidae,,decimal degrees,PreservedSpecimen,29673,Fred Parker,hardwickii,President and Fellows of Harvard College,,,,,Catalog,"Arafura Sea: 30-40 mi W of Fredrik Hendrik Is, Irian Jaya",,Indoaustralia: New Guinea,,,
"",1500,unknown,,,,,ICZN,,North America,Horn Isl. Fla.,,,,,,1,Chordata,1853-01-01,MCZ,,Reptilia,,,[no agent data],,PhysicalObject,30d 14m 24s N,88d 41m 16s W,unknown-migration,muse location number=ZR4869,,,2015-06-03 17:25:41.0,,,1853-1853,,1,4869,false,,United States,Reptilia sp.,Jackson,,205391,Florida/Mississippi,30.24,unknown,MCZ:Herp:R-4869,Herp,,CC-BY-NC,-88.6877777778,,,Animalia,Reptilia,"Laurenti, 1768",,,,,,deg. min. sec.,PreservedSpecimen,35083,Jeffreys,,President and Fellows of Harvard College,,,,,Catalog,Horn Isl Fla,,North America: United States: Florida/Mississippi: Jackson,,,
"",1500,unknown,,,,,ICZN,,North America,Horn Isl. Fla.,,,,,,1,Chordata,1700-01-01,MCZ,,Alligator,,,[no agent data],,PhysicalObject,30d 14m 24s N,88d 41m 16s W,unknown-migration,muse location number=ZR4872,,Crocodilia,2012-12-06 08:46:47.0,,,[no verbatim date data],,1,4872,false,,United States,Alligator mississippiensis,Jackson,,205394,Florida/Mississippi,30.24,unknown,MCZ:Herp:R-4872,Herp,,CC-BY-NC,-88.6877777778,,,Animalia,Reptilia,(Daudin),,,,Alligatoridae,,deg. min. sec.,PreservedSpecimen,35086,[no agent data],mississippiensis,President and Fellows of Harvard College,,,,,Catalog,Horn Isl Fla,,North America: United States: Florida/Mississippi: Jackson,,,
"",,,,,,,ICZN,,Oceania,"American Samoa,Rose Atoll",,,,,,1,Chordata,1920-06-03,MCZ,,Lepidodactylus,,,,,PhysicalObject,,,,muse location number=ZR14458,,Squamata,2014-11-25 17:09:26.0,,,3/6/1920-6/6/1920,,1,14458,false,,American Samoa,Lepidodactylus lugubris,,,232520,,,,MCZ:Herp:R-14458,Herp,,CC-BY-NC,,,,Animalia,Reptilia,"(Duméril and Bibron, 1836)",,,,Gekkonidae,,,PreservedSpecimen,42138,Alfred Goldsborough Mayor,lugubris,President and Fellows of Harvard College,,Samoa Islands,,,Catalog,"American Samoa,Rose Atoll",,Oceania: American Samoa: Samoa Islands,,,
"",,,,,,,ICZN,Mahe Island,Africa,"Mahe,Seychelles",,,,,,1,Chordata,1700-01-01,MCZ,,Mabuya,,,,,PhysicalObject,,,,muse location number=ZR28677,,Squamata,2012-12-06 08:46:41.0,,,[no verbatim date data],,1,28677,false,,,Mabuya seychellensis,,,238023,,,,MCZ:Herp:R-28677,Herp,,CC-BY-NC,,,,Animalia,Reptilia,,,,,Scincidae,,,PreservedSpecimen,43566,[no agent data],seychellensis,President and Fellows of Harvard College,,Seychelles Islands,,,Catalog,"Mahe,Seychelles",,Africa: Seychelles Islands: Mahe Island,,,
"",,,,,,,ICZN,Mahe Island,Africa,"Ile Mahe, Seychelles",,,,,,1,Chordata,1700-01-01,MCZ,,Lycognathophis,,,,,PhysicalObject,,,,collector number=20421; muse location number=ZR46878,,Squamata,2015-06-03 17:31:54.0,,,[no verbatim date data],,1,46878,false,,,Lycognathophis seychellensis,,,259101,,,,MCZ:Herp:R-46878,Herp,,CC-BY-NC,,,,Animalia,Reptilia,"(Schlegel, 1837)",,,,Colubridae,,,PreservedSpecimen,49242,William Louis Abbott,seychellensis,President and Fellows of Harvard College,,Seychelles Islands,,,Catalog,Ile Mahe: Seychelles,,Africa: Seychelles Islands: Mahe Island,,,
"",,,,,,,ICZN,Turks And Caicos Ids.,West Indies,"East Sixhill Cay, Caicos Id.",,,,,,1,Chordata,1955-07-03,MCZ,,Sphaerodactylus,,,,,PhysicalObject,,,,muse location number=ZR56270,,Squamata,2013-01-30 10:54:08.0,,,3/7/1955-3/7/1955,,1,56270,false,,,Sphaerodactylus caicosensis,,,274141,,,,MCZ:Herp:R-56270,Herp,,CC-BY-NC,,,,Animalia,Reptilia,,,,,Gekkonidae,,,PreservedSpecimen,53660,Garth Underwood,caicosensis,President and Fellows of Harvard College,,,,,Catalog,"East Sixhill Cay, Caicos Id.",,West Indies: Turks And Caicos Ids.,,,
"",,,,,,,ICZN,Turks And Caicos Ids.,West Indies,"Long Cay, Caicos Id.",,,,,,1,Chordata,1955-07-01,MCZ,,Sphaerodactylus,,,,,PhysicalObject,,,,muse location number=ZR56272,,Squamata,2013-01-30 10:54:08.0,,,1/7/1955-1/7/1955,,1,56272,false,,,Sphaerodactylus caicosensis,,,274143,,,,MCZ:Herp:R-56272,Herp,,CC-BY-NC,,,,Animalia,Reptilia,,,,,Gekkonidae,,,PreservedSpecimen,53663,Garth Underwood,caicosensis,President and Fellows of Harvard College,,,,,Catalog,"Long Cay, Caicos Id.",,West Indies: Turks And Caicos Ids.,,,
"",,,,,,,ICZN,Turks And Caicos Ids.,West Indies,"Sand Cay, Turks Id.",,,,,,1,Chordata,1955-07-10,MCZ,,Sphaerodactylus,,,,,PhysicalObject,,,,muse location number=ZR56320,,Squamata,2013-01-30 10:54:08.0,,,10/7/1955-10/7/1955,,1,56320,false,,,Sphaerodactylus underwoodi,,,274191,,,,MCZ:Herp:R-56320,Herp,,CC-BY-NC,,,,Animalia,Reptilia,,,,,Gekkonidae,,,PreservedSpecimen,53708,Garth Underwood,underwoodi,President and Fellows of Harvard College,,,,,Catalog,"Sand Cay, Turks Id.",,West Indies: Turks And Caicos Ids.,,,
